seller,units_sold,avg_selling_price,avg_market_value,avg_profit
huntington auto group llc,1,9000.0,12700.0,-3700.0
auto rainbow llc,1,9200.0,12900.0,-3700.0
eurotake llc,1,22000.0,25700.0,-3700.0
nicoles auto sales,1,16900.0,20600.0,-3700.0
car credit center corp,1,800.0,4500.0,-3700.0
united preowned cars llc,3,1233.33,4933.33,-3700.0
dependable auto sales llc,1,10500.0,14200.0,-3700.0
lake geneva chevrolet buick gmc,1,14500.0,18200.0,-3700.0
wells fargo dealer services-tra,54,3382.41,7071.76,-3689.35
little hawaii auto sales,2,2300.0,5987.5,-3687.5
auto outlet llc,5,1480.0,5135.0,-3655.0
community bank,1,3500.0,7150.0,-3650.0
alden credit union,1,1600.0,5250.0,-3650.0
south credit acceptance llc,3,12933.33,16583.33,-3650.0
boardwalk porsche,2,11850.0,15487.5,-3637.5
cleveland springs auto sales,1,1500.0,5125.0,-3625.0
tryba auto sales,1,500.0,4125.0,-3625.0
simply wheelz d/b/a/ advantage rent a car,1,9900.0,13500.0,-3600.0
murrays used cars inc,2,36500.0,40100.0,-3600.0
1st liberty fcu,1,4200.0,7800.0,-3600.0
robins fcu,2,15600.0,19200.0,-3600.0
new webster auto sales inc,1,16000.0,19600.0,-3600.0
tahoe motors,2,6650.0,10250.0,-3600.0
world alliance,2,11900.0,15487.5,-3587.5
north little rock nissan,1,5600.0,9175.0,-3575.0
calico motorcade,2,18000.0,21575.0,-3575.0
car 1 auto group inc,2,8350.0,11912.5,-3562.5
manheim daytona bch co car non-assigned,1,9100.0,12650.0,-3550.0
european automobile company,2,34500.0,38050.0,-3550.0
leasing services of south florida inc,2,8250.0,11800.0,-3550.0
the auto liquidation group,1,7500.0,11050.0,-3550.0
heights finance corporation/mckery,1,500.0,4050.0,-3550.0
tom williams imports llc,3,19333.33,22883.33,-3550.0
dallas fcu,1,6600.0,10150.0,-3550.0
manheim omaha,5,12860.0,16400.0,-3540.0
new rochelle hyundai,1,4100.0,7625.0,-3525.0
flag/brian harris bmw,1,49200.0,52700.0,-3500.0
south metro fcu,1,21500.0,25000.0,-3500.0
rw motors llc,2,14950.0,18450.0,-3500.0
wells fargo/tra,5,2950.0,6440.0,-3490.0
eastern bank,2,5550.0,9025.0,-3475.0
g & l auto sales,1,700.0,4175.0,-3475.0
professional financial services/savannah,2,11150.0,14625.0,-3475.0
credit one sales llc,2,1062.5,4525.0,-3462.5
young buick gmc co.,1,55250.0,58700.0,-3450.0
nortex motors,1,4300.0,7750.0,-3450.0
landrover tampa,3,23400.0,26833.33,-3433.33
coastal credit inc / gulfport / gulfport,1,3000.0,6425.0,-3425.0
sti fleet corp,7,6203.57,9621.43,-3417.86
oneok partners,3,7183.33,10600.0,-3416.67
spectrum auto group  llc,2,1150.0,4562.5,-3412.5
dollar thrifty auto group/salvage,1,9100.0,12500.0,-3400.0
dave sinclair ford inc,1,18800.0,22200.0,-3400.0
frontline service-oaa employee,1,350.0,3750.0,-3400.0
south shore bmw mini,1,29400.0,32800.0,-3400.0
manheim auctions inventory,1,45200.0,48600.0,-3400.0
complete automotive svcs llc,1,19900.0,23300.0,-3400.0
d-n-v auto sales,1,10700.0,14100.0,-3400.0
rhode island school of design,1,2800.0,6200.0,-3400.0
frankel acura,1,23400.0,26800.0,-3400.0
titlemax/el paso tx14,1,1700.0,5100.0,-3400.0
mercedes benz of sugarland,2,60250.0,63650.0,-3400.0
autonation nissan las vegas,2,6250.0,9650.0,-3400.0
volvo na lemon law/world omni,14,16878.57,20271.43,-3392.86
russ darrow leasing co inc,2,39466.5,42850.0,-3383.5
volunteers of america,1,750.0,4125.0,-3375.0
titlemax/lynwood ca1,2,5800.0,9175.0,-3375.0
momentum volkswagen,2,25875.0,29250.0,-3375.0
fort sill fcu,2,7900.0,11275.0,-3375.0
certified auto service and sales,1,3000.0,6375.0,-3375.0
nagys auto sales llc,1,11200.0,14550.0,-3350.0
primeritus remarketing/sa,1,4300.0,7650.0,-3350.0
onemain rem/mars auto,1,7750.0,11100.0,-3350.0
top line motor cars llc,1,18250.0,21600.0,-3350.0
generation kia,1,7600.0,10950.0,-3350.0
ang auto sales,1,12500.0,15850.0,-3350.0
danny automotive inc,1,2100.0,5450.0,-3350.0
midway autohaus,2,5000.0,8337.5,-3337.5
family auto sales and leasing llc,3,32066.67,35400.0,-3333.33
north york chrysler jeep dodge ram fiat,23,38989.13,42317.39,-3328.26
cars/skopos financial,1,3900.0,7225.0,-3325.0
land rover north america llc,46,72043.48,75361.96,-3318.48
beadles chevrolet buick gmc llc,3,17533.33,20850.0,-3316.67
lee & mason financial services,1,1000.0,4300.0,-3300.0
welsh subaru of limerick,1,24500.0,27800.0,-3300.0
jbi autos,1,1200.0,4500.0,-3300.0
columbus auto warehouse llc,1,13300.0,16600.0,-3300.0
signature rent a car,3,15633.33,18933.33,-3300.0
pas finance,1,7100.0,10400.0,-3300.0
motor city auto broker inc,2,950.0,4250.0,-3300.0
american electric power,1,1400.0,4700.0,-3300.0
paramus hyundai inc,1,24200.0,27500.0,-3300.0
drive with pride inc,1,9800.0,13100.0,-3300.0
chaparral ford inc,1,42000.0,45300.0,-3300.0
rose auto sales inc,1,23500.0,26800.0,-3300.0
audi west covina,6,17991.67,21287.5,-3295.83
university fcu,2,12850.0,16125.0,-3275.0
honda of downtown los angeles,3,10350.0,13625.0,-3275.0
am ko auto inc,1,2900.0,6175.0,-3275.0
caribe federal credit union,1,4500.0,7775.0,-3275.0
1st commercial,7,9571.43,12842.86,-3271.43
financial services remarketing,12,20695.83,23958.33,-3262.5
mgl auto sales,2,10325.0,13575.0,-3250.0
members advantage community credit union,1,15700.0,18950.0,-3250.0
lexus of glendale,2,28250.0,31500.0,-3250.0
texans autos,1,7300.0,10550.0,-3250.0
main street autos inc,1,15200.0,18450.0,-3250.0
repo remarketing/tucoemas fcu,1,3800.0,7050.0,-3250.0
uhlmann motors inc,2,18500.0,21750.0,-3250.0
fort campbell fcu,2,5450.0,8700.0,-3250.0
tj independent auto inc,1,12800.0,16050.0,-3250.0
tonys ny auto sales inc,4,8275.0,11512.5,-3237.5
american car finance inc,20,10075.0,13310.0,-3235.0
car masters corp,12,8858.33,12091.67,-3233.33
title cash dba lighthouse financial,1,2500.0,5725.0,-3225.0
dave gill pontiac gmc truck inc,1,6400.0,9625.0,-3225.0
apple valley ford linc merc,2,2875.0,6100.0,-3225.0
obrien hyundai,1,500.0,3725.0,-3225.0
citizens finance/loves park,1,350.0,3575.0,-3225.0
a g auto sales,2,14375.0,17575.0,-3200.0
futel,1,9200.0,12400.0,-3200.0
immo gest inc,1,23400.0,26600.0,-3200.0
top auto sales,1,2000.0,5200.0,-3200.0
motorcars washington llc,1,39300.0,42500.0,-3200.0
repo remarketing/snocope federal credit union,1,5700.0,8900.0,-3200.0
straight motor sales inc,1,9000.0,12200.0,-3200.0
precision auto sales,1,45500.0,48700.0,-3200.0
jakes auto exchange,1,41500.0,44700.0,-3200.0
enterprise rac/edmonton,8,21056.25,24250.0,-3193.75
skyline auto sales inc,7,22507.14,25700.0,-3192.86
la auto house,3,13625.0,16816.67,-3191.67
fresno county fcu,1,3000.0,6175.0,-3175.0
thunderbird auto finance,4,2725.0,5900.0,-3175.0
