make,model,units_sold,avg_selling_price,avg_market_value,avg_profit,avg_margin_pct
Chevrolet,Impala,7923,8020,8269.39,-249.38,-14.29
Audi,Q5,542,27057.75,27301.94,-244.19,-1.4
Dodge,Charger,4538,13061.35,13305.13,-243.78,-8.9
Porsche,Cayman,66,33660.61,33903.79,-243.18,-0.76
dodge,magnum,25,2996,3239,-243,-28.11
Chevrolet,Express,293,17237.72,17479.44,-241.72,-3.5
Chevrolet,Silverado 1500 Classic,188,8403.99,8645.61,-241.62,-9.16
BMW,X4,5,51620,51860,-240,-0.61
Lexus,GS 400,20,2360,2600,-240,-33.79
Dodge,Journey,3100,12531.81,12771.77,-239.96,-6.23
Hyundai,Elantra,6261,10058.78,10298.37,-239.59,-6.39
Ford,F-350 Super Duty,1123,22417.93,22656.32,-238.39,-704.48
Jeep,Cherokee,606,18357.51,18595.46,-237.95,-13.43
Hyundai,Genesis,902,17978.09,18215.77,-237.68,-3.97
Hyundai,Tucson,873,11987.69,12225.26,-237.57,-7.02
ford,taurus,10,450,687.5,-237.5,-75
Chevrolet,Camaro,1950,19334.11,19570.18,-236.07,-4.43
Pontiac,G6,1686,4501.78,4736.54,-234.76,-20.11
Chevrolet,TrailBlazer,1133,4365.49,4600.13,-234.64,-25.16
Dodge,Ram Pickup 3500,201,18958.46,19192.91,-234.45,-24.91
vw,jetta,9,7038.89,7272.22,-233.33,-0.65
Mercury,Milan,274,4720.62,4952.19,-231.57,-22.75
Chevrolet,Colorado,813,8908.64,9139.73,-231.09,-18.01
toyota,sienna,32,1628.91,1859.38,-230.47,-31.09
Nissan,Versa,3092,7552.23,7782.45,-230.23,-10.29
ford,police,16,1703.13,1932.81,-229.69,-56.43
Nissan,NV200,29,15956.9,16186.21,-229.31,-5.15
Dodge,Challenger,1196,20875.25,21104.22,-228.97,-4.74
chevrolet,impala,34,3841.18,4069.85,-228.68,-11.53
Saab,03-Sept,354,3471.96,3700.21,-228.25,-38.69
Chrysler,Pacifica,229,3901.31,4129.48,-228.17,-20.67
Jaguar,XJ-Series,175,5556.86,5785,-228.14,-30.46
Ford,C-Max Energi,234,12238.46,12466.35,-227.88,-4.26
chevrolet,camaro,10,1265,1492.5,-227.5,-83.13
Nissan,Pathfinder,2152,14058.81,14283.89,-225.07,-8.37
bmw,750lxi,4,30375,30600,-225,-1.03
mercedes,420sel,1,1400,1625,-225,-16.07
Jeep,Compass,1365,12128.71,12353.42,-224.71,-6.06
Volkswagen,CC,649,13466.26,13690.41,-224.15,-4.41
GMC,Envoy,614,4253.01,4476.38,-223.37,-27.28
Oldsmobile,Silhouette,40,1051.87,1275,-223.12,-67.06
Ford,E-Series Wagon,1282,19404.22,19625.88,-221.66,-2.8
Pontiac,Torrent,266,4753.57,4974.91,-221.33,-19.08
Hyundai,XG350,79,1858.54,2079.43,-220.89,-67.55
Infiniti,G37,215,13469.65,13690,-220.35,-4.92
Hyundai,Elantra Coupe,103,12256.8,12475.97,-219.17,-4.4
Ford,F-150,14479,18832.09,19050.85,-218.76,-7.03
Nissan,Quest,802,9866.59,10084.6,-218.01,-19.4
BMW,X5,2462,22717.87,22935.69,-217.82,-4.32
BMW,7 Series,1189,17810.66,18026.22,-215.56,-15.62
mitsubishi,galant,100,7552,7767.5,-215.5,-8.49
Ford,Fusion,12945,12353.23,12568.01,-214.78,-4.4
subaru,forester,58,3805.6,4018.53,-212.93,-22.18
Volvo,XC60,412,23890.78,24103.4,-212.62,-1.69
Volvo,V70,165,1981.52,2194.09,-212.58,-35.13
Mercury,Tracer,4,312.5,525,-212.5,-73.33
mazda,tribute,13,2907.69,3119.23,-211.54,-50.98
Mercedes-Benz,B-Class Electric Drive,5,28150,28360,-210,-2.3
Lincoln,Zephyr,95,4609.47,4819.21,-209.74,-11.82
Honda,CR-Z,108,10238.43,10448.15,-209.72,-3.63
Ram,1500,3226,22914.22,23123.16,-208.94,-2.26
Dodge,Avenger,3961,9055.4,9264.21,-208.81,-8.48
Chrysler,Town and Country,5994,14534.53,14743.14,-208.61,-6.2
toyota,previa,3,308.33,516.67,-208.33,-65.98
Nissan,Juke,479,14858.87,15066.39,-207.52,-4.36
Acura,ZDX,39,26391.03,26597.44,-206.41,-1.13
Ford,Explorer Sport Trac,403,8120.47,8326.43,-205.96,-12.61
Jeep,Commander,671,7760.13,7965.42,-205.29,-10.27
Ford,Fiesta,2375,9254.12,9457.76,-203.64,-6.8
Suzuki,XL-7,79,2054.11,2256.65,-202.53,-40.8
Mazda,CX-5,507,19167.66,19369.63,-201.97,-2.14
Volvo,C70,150,12423.51,12623.67,-200.15,-13.64
Audi,A5,359,24540.39,24740.53,-200.14,-1.61
GMC,Envoy XL,239,3771.13,3971.13,-200,-33.18
chrysler,voyager,4,762.5,962.5,-200,-75.54
Dodge,Spirit,1,300,500,-200,-66.67
Mitsubishi,3000GT,3,1666.67,1866.67,-200,-86.33
Buick,LeSabre,498,1994.23,2194.03,-199.8,-52.51
Buick,Rendezvous,287,2778.22,2977.61,-199.39,-48.49
Chrysler,PT Cruiser,1231,2259.4,2458.77,-199.37,-38.47
Chevrolet,Blazer,329,1081.84,1279.41,-197.57,-65
Chevrolet,Tahoe,3094,18308.46,18505.16,-196.71,-11.39
ford,ranger,27,2744.44,2940.74,-196.3,-35.64
MINI,Cooper Coupe,39,15791.03,15987.18,-196.15,-1.28
Volvo,V60,83,26615.66,26810.84,-195.18,-0.83
Ford,Flex,1207,19115.83,19310.73,-194.9,-2.19
Cadillac,ATS,201,20519.42,20713.68,-194.26,-1.4
Lincoln,MKT,154,23567.86,23761.53,-193.67,-1.8
Cadillac,XTS,155,30246.46,30440,-193.54,-1.89
Volkswagen,Passat,3327,9573.18,9766.66,-193.48,-11.84
Nissan,Armada,789,15859.7,16052.63,-192.93,-9.25
dodge,ram,12,3629.17,3820.83,-191.67,-33.91
Mercury,Grand Marquis,536,3148.04,3339.46,-191.42,-39.63
Porsche,Cayenne,562,28886.3,29077.05,-190.75,-5.56
Saturn,Aura,465,4566.72,4756.88,-190.16,-20.9
Chevrolet,Aveo,770,3494.22,3683.6,-189.38,-20.06
Volvo,S90,7,678.57,867.86,-189.29,-48.69
chrysler,pacifica,148,2770.44,2958.28,-187.84,-36.12
Subaru,Forester,954,17138.99,17326.21,-187.21,-4.44
Infiniti,M,898,25143.51,25329.29,-185.77,-1.22
GMC,Yukon,1373,16923.84,17109.52,-185.69,-7.57
Pontiac,Grand Am,436,1226.43,1411.81,-185.38,-63.3
Oldsmobile,Alero,130,959.42,1144.23,-184.81,-62.25
Mercedes-Benz,R-Class,332,10577.56,10761.75,-184.19,-5.49
BMW,5 Series,4172,21220.04,21403.67,-183.62,-5
Mercury,Mountaineer,420,4157.26,4340.77,-183.51,-31.44
Ford,Focus,10394,9318.36,9500.11,-181.75,-8.17
Scion,xD,172,9256.4,9438.08,-181.69,-3.59
Oldsmobile,Bravada,48,1239.06,1418.75,-179.69,-41.42
Nissan,Sentra,5465,8730.95,8910.15,-179.2,-7.79
Saturn,Relay,60,2266.67,2444.58,-177.92,-28.2
acura,rl,23,6252.17,6429.35,-177.17,-5.69
Ford,Escape,11861,13985.73,14161.62,-175.89,-5.94
Chevrolet,Cobalt,1653,3445.87,3621.16,-175.29,-26.22
Mercedes-Benz,ML55 AMG,1,3100,3275,-175,-5.65
Kia,Rio,1482,8366.24,8540.42,-174.18,-9.4
Scion,xB,504,7692.36,7864.29,-171.92,-8.68
Pontiac,Sunfire,105,1008.33,1180,-171.67,-58.79
FIAT,500,557,9109.65,9280.79,-171.14,-5.48
Dodge,Caliber,1335,4876.87,5047.6,-170.73,-13.13
Ford,Ranger,1851,7971.51,8141.64,-170.13,-15.6
Pontiac,Montana,80,1575.31,1745.31,-170,-51.06
Chevrolet,S-10,221,2566.52,2736.31,-169.8,-42.02
Buick,Rainier,90,3488.89,3658.61,-169.72,-16.79
Kia,Soul,2742,11353.81,11523.52,-169.71,-4.25
