seller,sale_year,units_sold,total_revenue,avg_profit
abfg auto of dfw,2014,1,3700.0,-550.0
abids motors,2015,1,2400.0,-625.0
abilene federal credit union,2015,1,1200.0,-25.0
abilene teachers fcu,2015,3,26300.0,-1150.0
abs,2014,52,215100.0,-688.94
abs,2015,2,20200.0,-25.0
abs &s group auto broker,2015,1,6100.0,575.0
abs finance,2015,1,12750.0,-650.0
absher arnold motors llc,2014,6,107900.0,1512.5
absher arnold motors llc,2015,14,248400.0,325.0
absolute auto center,2015,1,9700.0,-1850.0
absolute auto sales,2014,1,1100.0,-425.0
absolute auto sales inc,2015,1,10600.0,-900.0
absolute hyundai of mesquite,2015,2,24000.0,-437.5
abt inc,2014,9,20975.0,-358.33
abt inc,2015,2,1950.0,137.5
ac greenwich auto brokers ll,2015,1,16700.0,250.0
acadian credit plan inc,2014,1,300.0,-2275.0
acapulco motors,2015,1,3800.0,-900.0
acar auto rental,2015,1,6500.0,800.0
access auto mart llc,2015,1,26600.0,100.0
access finance,2014,1,5600.0,-50.0
access finance,2015,13,47700.0,-232.69
access motors company,2015,3,54500.0,333.33
accion new mexico,2015,3,1450.0,-966.67
accion texas,2015,2,4050.0,-350.0
accountable finance inc,2015,3,4000.0,-16.67
accurate auto sales llc,2014,1,12500.0,-2300.0
ace auto group,2015,2,16950.0,-4475.0
ace auto group inc.,2015,1,300.0,-875.0
ace auto sales,2015,3,41500.0,1616.67
ace auto wholesale inc,2014,4,37900.0,1012.5
ace auto wholesale inc,2015,5,86800.0,850.0
ace automotiv,2015,1,16300.0,-250.0
ace motor acceptance corporation,2015,155,265925.0,-428.71
ace sales company,2014,1,6800.0,550.0
ace sales company,2015,2,13900.0,412.5
acer motorsports dealership llc,2015,1,5700.0,150.0
achieva credit union,2014,4,17200.0,-450.0
achieva credit union,2015,61,592200.0,-859.43
achieve financial credit union,2015,3,7650.0,-2233.33
acm auto sales,2014,1,2550.0,1575.0
acm enterprises group inc,2015,2,18600.0,-5100.0
acme auto leasing,2014,1,16000.0,150.0
acme auto leasing llc,2015,5,75700.0,-2130.0
acme autos international,2014,4,46250.0,718.75
acme autos international,2015,39,584950.0,375.64
acquisition motors,2015,1,7400.0,-400.0
acr (atlanta car remarketing inc),2014,1,3200.0,-425.0
acr (atlanta car remarketing inc),2015,9,127150.0,-377.78
acr rental services inc,2015,8,82900.0,-593.75
acra automotive group,2014,3,26200.0,-783.33
acra automotive group,2015,3,34200.0,-283.33
acree auto sales inc,2015,1,5300.0,-250.0
acres auto recycling inc,2014,6,23500.0,-395.83
acres auto recycling inc,2015,30,145700.0,-1085.0
action auction llc,2014,6,19500.0,287.5
action auction llc,2015,8,46650.0,-234.38
action auto group llc,2014,3,20800.0,150.0
action auto sales inc,2015,1,33800.0,2000.0
action automotive inc,2014,2,5100.0,200.0
action finance & leasing corporation,2015,1,66500.0,1500.0
action imports llc,2014,1,1600.0,-925.0
action nissan,2015,9,173400.0,-83.33
action towing,2014,1,7600.0,-1000.0
active auto sales inc,2014,5,18600.0,-625.0
active auto sales inc,2015,14,127950.0,-787.5
acura 101 west,2015,5,8650.0,-1735.0
acura columbus,2015,2,6900.0,-2287.5
acura libertyville,2014,2,36500.0,650.0
acura libertyville,2015,16,351000.0,465.63
acura north scottsdale,2014,1,14750.0,-2050.0
acura north scottsdale,2015,8,137050.0,450.0
acura of augusta,2015,1,13325.0,1725.0
acura of brookfield,2014,2,12800.0,-2700.0
acura of brookfield,2015,7,69850.0,-382.14
acura of concord,2015,29,225700.0,1154.31
acura of gainesville,2015,3,35400.0,-233.33
acura of glendale,2015,2,45000.0,-400.0
acura of huntington,2015,7,158500.0,-964.29
acura of johnston,2014,2,33100.0,875.0
acura of johnston,2015,2,51500.0,-350.0
acura of las vegas,2014,10,147500.0,305.0
acura of las vegas,2015,36,789950.0,513.19
acura of limerick,2015,1,39750.0,250.0
acura of omaha,2015,4,86500.0,481.25
acura of orange park,2015,1,20100.0,750.0
acura of pleasanton,2014,1,2100.0,675.0
acura of pleasanton,2015,67,487750.0,961.94
acura of riverside,2014,13,97350.0,321.15
acura of riverside,2015,46,324550.0,434.24
acura of seattle,2014,6,79700.0,1408.33
acura of seattle,2015,70,837250.0,1273.21
acura of serramonte,2014,6,26050.0,-91.67
acura of serramonte,2015,6,27300.0,-191.67
acura on brant,2014,2,6400.0,200.0
acura on brant,2015,2,14200.0,-812.5
ada dodge chrysler jeep ram,2014,1,20600.0,-1700.0
ada dodge chrysler jeep ram,2015,1,15700.0,-500.0
adam car sales inc,2014,2,6050.0,-162.5
adams leasing inc,2015,1,25400.0,300.0
adams motor company,2015,1,12700.0,1400.0
adcock brothers inc,2014,133,2869850.0,629.14
adcock brothers inc,2015,1912,40825800.0,774.31
addison motorcars,2014,1,26800.0,500.0
addison motorcars,2015,1,26000.0,1100.0
adk auto brokers inc,2014,52,471000.0,-830.77
adk auto brokers inc,2015,321,2987050.0,-800.0
admiral leasing,2015,6,130300.0,-383.33
adobe auto sale,2015,1,600.0,275.0
adobe auto sales inc,2015,1,1100.0,-5800.0
adobra autos,2014,1,2700.0,-1375.0
advance,2014,1,2800.0,825.0
advance,2015,52,492200.0,831.73
advance auto trade,2014,1,2800.0,75.0
advance automotive sales & financing inc,2015,1,15500.0,-2050.0
advance car rental inc,2015,3,52400.0,-566.67
advanced auto brokers llc,2014,17,125050.0,-530.88
advanced auto brokers llc,2015,65,750800.0,-1092.69
advanced auto sales,2014,7,29000.0,139.29
advanced auto sales,2015,8,61500.0,-1203.13
advanced car company,2014,1,2200.0,250.0
advanced fleet services,2015,11,116400.0,56.82
advanced remarketing services  inc.,2014,3,3125.0,-1183.33
advanced remarketing services  inc.,2015,12,10700.0,-854.17
advancial fcu,2014,4,56100.0,-887.5
advancial fcu,2015,24,394000.0,-932.29
advantage auto sales,2015,2,21000.0,-650.0
advantage auto sales inc,2014,2,13800.0,-1937.5
advantage auto sales inc,2015,3,20300.0,-1283.33
advantage autosport llc,2015,8,54550.0,521.88
advantage car exchange,2014,1,1900.0,-175.0
advantage car exchange,2015,7,22750.0,528.57
advantage chevrolet of bolingbrook inc,2014,1,1700.0,75.0
advantage chevrolet of bolingbrook inc,2015,1,850.0,-2800.0
advantage chevrolet/ge,2014,11,120650.0,-825.0
advantage chevrolet/ge,2015,200,2438850.0,-359.12
advantage chrysler dodge jeep,2015,18,256000.0,547.22
advantage financing,2014,1,7300.0,275.0
advantage financing,2015,2,18300.0,400.0
advantage ford of stuart inc,2015,16,100000.0,-421.88
advantage funding commercial capital corp,2014,1,15000.0,-4250.0
advantage funding commercial capital corp,2015,5,68400.0,-2230.0
advantage opco llc,2015,74,1364200.0,-236.82
advantage rent a car a/r,2015,1,9000.0,-175.0
advantage rent a car/hertz,2014,2,30600.0,-2650.0
advantage rent a car/hertz,2015,12,128900.0,-2731.25
advantage trucks com llc,2014,1,16300.0,150.0
advantage/rosedale dodge/chrysler,2015,2,53800.0,350.0
advantedge quality cars,2015,1,3300.0,550.0
advantis credit union,2015,1,1700.0,-4275.0
adventure chrysler jeep,2015,9,118200.0,-97.22
adventure rv & auto sales  inc,2015,2,28200.0,825.0
adventure rv & auto sales inc,2015,9,127500.0,494.44
advia credit union,2014,2,14900.0,-1425.0
advia credit union,2015,67,468125.0,-677.99
aek auto dealer,2015,2,31000.0,-4450.0
aero corporation,2014,1,38500.0,0.0
aero corporation,2015,8,189650.0,-518.75
aex credit services,2015,109,215625.0,-216.97
affinity auto sales,2014,11,14150.0,-868.18
affinity automotive repairs & sales inc,2015,1,29000.0,1000.0
affinity credit union,2014,1,15100.0,1000.0
affinity luxury car rental ltd,2015,1,7900.0,-1575.0
affinity truck & auto sales,2014,1,1200.0,-1475.0
affordable,2015,3,16700.0,-791.67
affordable auto care,2014,1,11300.0,-1150.0
affordable auto detln & sls,2015,1,1600.0,-9000.0
affordable auto rental/budget rac,2015,2,21500.0,1075.0
affordable auto sales,2014,2,11300.0,-425.0
affordable auto sales,2015,3,27600.0,516.67
affordable autos,2014,3,9700.0,-158.33
affordable autos,2015,3,28500.0,58.33
affordable autos inc,2015,3,56100.0,483.33
affordable dream auto llc,2015,1,10900.0,-7500.0
affordable imports llc,2015,1,600.0,-2875.0
affordable loans llc,2015,4,37600.0,-381.25
affordable one stop llc,2014,1,600.0,-750.0
affordable t motors,2015,1,20200.0,-700.0
affordable title loans,2014,1,3500.0,-1375.0
affordable title loans,2015,1,2100.0,-725.0
affordable transmission repair inc,2015,1,6000.0,375.0
affordable transportion co,2015,1,850.0,-225.0
affordable truck and van rentals,2015,1,17600.0,150.0
affordable used cars & marine sales,2015,1,35000.0,100.0
afg/champion cu,2014,5,30000.0,-605.0
afg/champion cu,2015,14,118400.0,-410.71
afg/gte fcu,2015,2,17600.0,-775.0
afg/hub international/great american insurance,2014,1,3400.0,275.0
afg/hub international/great american insurance,2015,1,5800.0,275.0
